,state_alpha,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,AL,"[323, 373, 449, 591, 681]","[323, 374, 450, 592, 681]","[371, 414, 485, 631, 738]","[390, 438, 513, 670, 785]","[400, 449, 526, 686, 804]","[432, 486, 568, 741, 867]","[458, 516, 604, 787, 922]","[478, 538, 630, 821, 962]","[480, 540, 632, 824, 965]","[465, 520, 610, 792, 913]","[492, 531, 666, 890, 1001]","[486, 525, 658, 881, 989]","[511, 552, 691, 926, 1041]","[510, 547, 682, 915, 1049]","[551, 588, 729, 979, 1119]","[546, 584, 718, 960, 1105]"
1,AK,"[608, 734, 880, 1164, 1329]","[625, 750, 903, 1193, 1356]","[682, 784, 998, 1299, 1432]","[704, 810, 1030, 1341, 1479]","[728, 838, 1065, 1387, 1530]","[790, 908, 1155, 1504, 1658]","[811, 933, 1186, 1544, 1703]","[850, 978, 1244, 1619, 1786]","[834, 955, 1217, 1578, 1733]","[671, 789, 989, 1290, 1433]","[778, 887, 1133, 1509, 1742]","[708, 807, 1032, 1378, 1589]","[770, 879, 1121, 1498, 1725]","[815, 927, 1162, 1527, 1787]","[916, 1033, 1295, 1719, 2018]","[907, 1021, 1272, 1694, 1984]"
2,AZ,"[466, 516, 658, 885, 1034]","[481, 532, 679, 913, 1066]","[511, 577, 704, 993, 1158]","[509, 571, 697, 986, 1139]","[525, 588, 719, 1017, 1175]","[572, 641, 783, 1107, 1279]","[594, 665, 812, 1148, 1328]","[628, 704, 859, 1215, 1404]","[645, 723, 882, 1247, 1442]","[579, 649, 793, 1110, 1263]","[557, 638, 822, 1139, 1328]","[548, 628, 808, 1123, 1311]","[583, 668, 860, 1193, 1392]","[619, 695, 878, 1215, 1412]","[618, 670, 856, 1191, 1377]","[641, 693, 884, 1226, 1400]"
3,AR,"[302, 349, 444, 594, 668]","[302, 349, 445, 594, 669]","[369, 402, 484, 637, 716]","[396, 434, 520, 684, 770]","[402, 441, 528, 695, 782]","[436, 478, 573, 753, 847]","[436, 478, 573, 754, 848]","[439, 481, 577, 759, 853]","[455, 499, 598, 786, 884]","[429, 475, 569, 747, 837]","[457, 486, 633, 851, 986]","[447, 476, 620, 834, 967]","[464, 494, 643, 865, 1002]","[482, 517, 666, 889, 1024]","[497, 528, 674, 902, 1031]","[507, 541, 691, 920, 1053]"
4,CA,"[581, 688, 869, 1200, 1377]","[602, 712, 900, 1242, 1425]","[642, 731, 897, 1267, 1457]","[665, 756, 929, 1316, 1512]","[686, 780, 958, 1358, 1561]","[748, 849, 1043, 1478, 1700]","[784, 890, 1093, 1550, 1782]","[808, 918, 1128, 1599, 1838]","[831, 945, 1161, 1646, 1890]","[781, 895, 1104, 1555, 1766]","[770, 886, 1147, 1623, 1897]","[789, 908, 1176, 1663, 1944]","[801, 923, 1194, 1691, 1975]","[856, 985, 1266, 1775, 2067]","[901, 1037, 1326, 1854, 2187]","[944, 1088, 1388, 1938, 2256]"
5,CO,"[484, 533, 671, 908, 1079]","[490, 539, 679, 919, 1093]","[522, 603, 737, 1011, 1196]","[540, 619, 757, 1043, 1240]","[555, 636, 778, 1072, 1275]","[561, 643, 786, 1082, 1288]","[577, 662, 809, 1114, 1326]","[583, 668, 816, 1125, 1339]","[601, 689, 842, 1160, 1381]","[566, 647, 789, 1074, 1290]","[584, 649, 839, 1153, 1334]","[594, 660, 854, 1174, 1359]","[616, 687, 888, 1225, 1418]","[661, 731, 940, 1293, 1505]","[678, 739, 945, 1309, 1508]","[759, 830, 1051, 1451, 1655]"
6,CT,"[588, 739, 917, 1177, 1377]","[604, 759, 942, 1209, 1415]","[642, 768, 935, 1148, 1339]","[680, 816, 988, 1220, 1470]","[712, 858, 1043, 1288, 1540]","[735, 885, 1076, 1329, 1587]","[761, 916, 1114, 1376, 1643]","[804, 969, 1177, 1454, 1738]","[810, 976, 1186, 1465, 1750]","[825, 996, 1202, 1481, 1721]","[804, 939, 1199, 1512, 1744]","[811, 949, 1211, 1528, 1765]","[825, 965, 1232, 1554, 1795]","[827, 1015, 1285, 1632, 1870]","[845, 1006, 1268, 1621, 1841]","[891, 1055, 1318, 1684, 1928]"
7,DE,"[520, 604, 719, 952, 1087]","[526, 612, 727, 963, 1102]","[578, 624, 707, 964, 1135]","[623, 688, 787, 1042, 1225]","[648, 716, 820, 1085, 1276]","[673, 744, 851, 1127, 1325]","[704, 777, 890, 1178, 1385]","[746, 824, 942, 1249, 1468]","[727, 802, 918, 1217, 1430]","[728, 806, 920, 1189, 1421]","[751, 870, 1081, 1444, 1687]","[707, 821, 1017, 1355, 1580]","[771, 892, 1108, 1480, 1729]","[780, 908, 1117, 1508, 1725]","[807, 910, 1113, 1527, 1761]","[794, 892, 1087, 1497, 1725]"
8,DC,"[865, 984, 1154, 1573, 1897]","[913, 1039, 1218, 1660, 2002]","[915, 1045, 1187, 1537, 2000]","[948, 1080, 1225, 1580, 2068]","[995, 1134, 1286, 1659, 2171]","[1025, 1168, 1324, 1708, 2235]","[1092, 1245, 1411, 1820, 2382]","[1156, 1318, 1494, 1927, 2522]","[1131, 1289, 1461, 1885, 2466]","[1166, 1328, 1506, 1943, 2542]","[1226, 1292, 1532, 2050, 2575]","[1272, 1340, 1589, 2127, 2671]","[1260, 1328, 1574, 2107, 2646]","[1307, 1402, 1623, 2144, 2726]","[1440, 1513, 1746, 2300, 2855]","[1504, 1561, 1793, 2353, 2902]"
9,FL,"[475, 536, 637, 825, 933]","[478, 540, 642, 831, 941]","[502, 550, 645, 845, 958]","[528, 580, 680, 895, 1012]","[545, 599, 703, 926, 1046]","[623, 683, 802, 1057, 1193]","[664, 729, 856, 1128, 1273]","[697, 764, 897, 1182, 1334]","[686, 752, 883, 1164, 1313]","[656, 727, 851, 1115, 1240]","[637, 709, 882, 1190, 1376]","[639, 713, 885, 1196, 1383]","[644, 717, 891, 1204, 1392]","[654, 731, 899, 1211, 1419]","[681, 755, 928, 1254, 1474]","[701, 777, 954, 1287, 1513]"
