,state_alpha,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,AL,"[323.31, 373.81, 449.58, 591.69, 681.34]","[323.19, 374.33, 450.21, 592.45, 681.63]","[371.36, 414.36, 485.88, 631.52, 738.67]","[390.12, 438.73, 513.73, 670.06, 785.67]","[400.1, 449.96, 526.73, 686.96, 804.81]","[432.07, 486.16, 568.75, 741.42, 867.88]","[458.85, 516.22, 604.15, 787.69, 922.46]","[478.64, 538.66, 630.21, 821.57, 962.16]","[480.39, 540.61, 632.42, 824.39, 965.13]","[465.28, 520.18, 610.46, 792.09, 913.25]","[492.42, 531.97, 666.3, 890.99, 1001.58]","[486.3, 525.31, 658.33, 881.16, 989.93]","[511.88, 552.4, 691.64, 926.27, 1041.4]","[510.37, 547.43, 682.22, 915.84, 1049.36]","[551.84, 588.75, 729.21, 979.12, 1119.85]","[546.07, 584.06, 718.63, 960.57, 1105.06]"
1,AK,"[608.68, 734.72, 880.28, 1164.64, 1329.4]","[625.89, 750.26, 903.44, 1193.78, 1356.11]","[682.04, 784.48, 998.37, 1299.07, 1432.93]","[704.59, 810.37, 1030.41, 1341.59, 1479.81]","[728.74, 838.11, 1065.63, 1387.52, 1530.11]","[790.07, 908.52, 1155.63, 1504.11, 1658.22]","[811.26, 933.15, 1186.78, 1544.81, 1703.78]","[850.59, 978.44, 1244.26, 1619.74, 1786.11]","[834.76, 955.72, 1217.93, 1578.72, 1733.86]","[671.9, 789.66, 989.1, 1290.9, 1433.48]","[778.31, 887.21, 1133.21, 1509.17, 1742.21]","[708.17, 807.59, 1032.55, 1378.31, 1589.97]","[770.97, 879.24, 1121.55, 1498.69, 1725.55]","[815.66, 927.31, 1162.07, 1527.17, 1787.34]","[916.1, 1033.97, 1295.79, 1719.28, 2018.48]","[907.66, 1021.34, 1272.79, 1694.69, 1984.45]"
2,AZ,"[466.0, 516.67, 658.13, 885.33, 1034.27]","[481.0, 532.8, 679.0, 913.27, 1066.73]","[511.73, 577.73, 704.33, 993.27, 1158.47]","[509.6, 571.13, 697.13, 986.13, 1139.6]","[525.67, 588.93, 719.13, 1017.27, 1175.27]","[572.67, 641.73, 783.0, 1107.53, 1279.8]","[594.0, 665.53, 812.27, 1148.93, 1328.0]","[628.07, 704.0, 859.07, 1215.13, 1404.53]","[645.2, 723.07, 882.2, 1247.87, 1442.07]","[579.73, 649.27, 793.07, 1110.73, 1263.0]","[557.07, 638.4, 822.13, 1139.53, 1328.2]","[548.27, 628.87, 808.47, 1123.73, 1311.67]","[583.27, 668.87, 860.33, 1193.6, 1392.53]","[619.73, 695.87, 878.0, 1215.33, 1412.6]","[618.93, 670.73, 856.73, 1191.87, 1377.47]","[641.6, 693.73, 884.73, 1226.47, 1400.13]"
3,AR,"[302.27, 349.64, 444.83, 594.6, 668.99]","[302.57, 349.91, 445.15, 594.99, 669.44]","[369.89, 402.61, 484.29, 637.11, 716.2]","[396.61, 434.44, 520.76, 684.68, 770.44]","[402.72, 441.0, 528.68, 695.4, 782.25]","[436.72, 478.19, 573.05, 753.88, 847.91]","[436.8, 478.27, 573.29, 754.29, 848.23]","[439.67, 481.44, 577.04, 759.2, 853.79]","[455.71, 499.07, 598.09, 786.63, 884.77]","[429.85, 475.51, 569.37, 747.05, 837.29]","[457.25, 486.23, 633.59, 851.09, 986.37]","[447.59, 476.67, 620.64, 834.75, 967.71]","[464.03, 494.01, 643.13, 865.03, 1002.51]","[482.71, 517.72, 666.24, 889.71, 1024.6]","[497.29, 528.13, 674.28, 902.72, 1031.69]","[507.51, 541.04, 691.24, 920.43, 1053.01]"
4,CA,"[581.52, 688.1, 869.57, 1200.16, 1377.19]","[602.21, 712.6, 900.41, 1242.72, 1425.79]","[642.71, 731.67, 897.05, 1267.02, 1457.78]","[665.1, 756.62, 929.05, 1316.17, 1512.21]","[686.79, 780.84, 958.9, 1358.62, 1561.14]","[748.26, 849.67, 1043.71, 1478.95, 1700.21]","[784.09, 890.47, 1093.97, 1550.74, 1782.71]","[808.6, 918.79, 1128.74, 1599.76, 1838.71]","[831.6, 945.5, 1161.84, 1646.31, 1890.93]","[781.5, 895.47, 1104.97, 1555.14, 1766.79]","[770.91, 886.5, 1147.64, 1623.74, 1897.71]","[789.81, 908.76, 1176.02, 1663.45, 1944.66]","[801.97, 923.33, 1194.97, 1691.45, 1975.62]","[856.59, 985.4, 1266.78, 1775.41, 2067.14]","[901.02, 1037.34, 1326.22, 1854.43, 2187.76]","[944.69, 1088.21, 1388.36, 1938.64, 2256.43]"
5,CO,"[484.57, 533.02, 671.11, 908.37, 1079.95]","[490.78, 539.13, 679.75, 919.49, 1093.49]","[522.8, 603.52, 737.61, 1011.22, 1196.25]","[540.19, 619.17, 757.02, 1043.05, 1240.44]","[555.52, 636.58, 778.44, 1072.36, 1275.52]","[561.28, 643.47, 786.03, 1082.62, 1288.45]","[577.91, 662.95, 809.47, 1114.52, 1326.72]","[583.39, 668.91, 816.89, 1125.27, 1339.08]","[601.53, 689.55, 842.48, 1160.75, 1381.28]","[566.36, 647.19, 789.45, 1074.75, 1290.14]","[584.22, 649.12, 839.58, 1153.05, 1334.95]","[594.8, 660.94, 854.25, 1174.72, 1359.64]","[616.69, 687.95, 888.94, 1225.47, 1418.16]","[661.02, 731.47, 940.66, 1293.41, 1505.91]","[678.7, 739.89, 945.84, 1309.19, 1508.78]","[759.56, 830.06, 1051.84, 1451.22, 1655.92]"
6,CT,"[588.24, 739.96, 917.48, 1177.56, 1377.76]","[604.44, 759.96, 942.12, 1209.28, 1415.2]","[642.68, 768.72, 935.2, 1148.0, 1339.92]","[680.49, 816.95, 988.67, 1220.24, 1470.92]","[712.93, 858.33, 1043.22, 1288.15, 1540.3]","[735.44, 885.64, 1076.06, 1329.09, 1587.44]","[761.17, 916.92, 1114.24, 1376.19, 1643.77]","[804.38, 969.12, 1177.61, 1454.51, 1738.04]","[810.83, 976.44, 1186.61, 1465.26, 1750.53]","[825.98, 996.85, 1202.13, 1481.52, 1721.53]","[804.75, 939.28, 1199.05, 1512.93, 1744.89]","[811.61, 949.79, 1211.83, 1528.57, 1765.76]","[825.87, 965.95, 1232.46, 1554.43, 1795.6]","[827.83, 1015.0, 1285.67, 1632.44, 1870.88]","[845.37, 1006.87, 1268.33, 1621.01, 1841.81]","[891.75, 1055.24, 1318.5, 1684.48, 1928.71]"
7,DE,"[520.33, 604.67, 719.0, 952.0, 1087.33]","[526.33, 612.0, 727.33, 963.67, 1102.0]","[578.33, 624.0, 707.67, 964.33, 1135.67]","[623.0, 688.33, 787.67, 1042.67, 1225.67]","[648.67, 716.67, 820.33, 1085.67, 1276.33]","[673.67, 744.67, 851.67, 1127.33, 1325.67]","[704.0, 777.67, 890.33, 1178.33, 1385.67]","[746.33, 824.33, 942.33, 1249.33, 1468.33]","[727.0, 802.67, 918.33, 1217.0, 1430.67]","[728.0, 806.0, 920.0, 1189.0, 1421.33]","[751.67, 870.67, 1081.0, 1444.0, 1687.67]","[707.0, 821.0, 1017.33, 1355.33, 1580.33]","[771.0, 892.0, 1108.67, 1480.33, 1729.0]","[780.33, 908.33, 1117.67, 1508.67, 1725.67]","[807.33, 910.33, 1113.0, 1527.0, 1761.33]","[794.0, 892.0, 1087.67, 1497.33, 1725.33]"
8,DC,"[865.0, 984.0, 1154.0, 1573.0, 1897.0]","[913.0, 1039.0, 1218.0, 1660.0, 2002.0]","[915.0, 1045.0, 1187.0, 1537.0, 2000.0]","[948.0, 1080.0, 1225.0, 1580.0, 2068.0]","[995.0, 1134.0, 1286.0, 1659.0, 2171.0]","[1025.0, 1168.0, 1324.0, 1708.0, 2235.0]","[1092.0, 1245.0, 1411.0, 1820.0, 2382.0]","[1156.0, 1318.0, 1494.0, 1927.0, 2522.0]","[1131.0, 1289.0, 1461.0, 1885.0, 2466.0]","[1166.0, 1328.0, 1506.0, 1943.0, 2542.0]","[1226.0, 1292.0, 1532.0, 2050.0, 2575.0]","[1272.0, 1340.0, 1589.0, 2127.0, 2671.0]","[1260.0, 1328.0, 1574.0, 2107.0, 2646.0]","[1307.0, 1402.0, 1623.0, 2144.0, 2726.0]","[1440.0, 1513.0, 1746.0, 2300.0, 2855.0]","[1504.0, 1561.0, 1793.0, 2353.0, 2902.0]"
9,FL,"[475.75, 536.78, 637.72, 825.24, 933.78]","[478.57, 540.66, 642.58, 831.39, 941.64]","[502.45, 550.24, 645.6, 845.25, 958.13]","[528.1, 580.27, 680.88, 895.75, 1012.1]","[545.48, 599.21, 703.22, 926.07, 1046.76]","[623.12, 683.85, 802.81, 1057.76, 1193.73]","[664.78, 729.42, 856.36, 1128.21, 1273.72]","[697.0, 764.61, 897.54, 1182.43, 1334.66]","[686.27, 752.96, 883.93, 1164.76, 1313.84]","[656.49, 727.12, 851.97, 1115.09, 1240.94]","[637.87, 709.87, 882.15, 1190.48, 1376.43]","[639.94, 713.13, 885.54, 1196.18, 1383.33]","[644.39, 717.73, 891.16, 1204.12, 1392.76]","[654.99, 731.55, 899.9, 1211.18, 1419.99]","[681.04, 755.76, 928.03, 1254.25, 1474.06]","[701.79, 777.16, 954.24, 1287.57, 1513.84]"
